Student_ID,Application_ID,Registration_Code,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
ST202603540,APP1002437,REG-EVZ9A,Single,Change of course,1,Nursing,Daytime,Secondary education,125.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",123.6,Yes,No,No,Yes,Female,Yes,18,No,0,7,8,5,12.86,0,0,7,8,5,12.86,0,7.6,2.6,0.32,Enrolled
ST202603488,APP1000237,REG-I5V32,Single,1st phase - general contingent,2,Animation and Multimedia Design,Daytime,Secondary education,129.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,122.0,Yes,No,No,No,Male,No,22,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7.6,2.6,0.32,Dropout
ST202603966,APP1003858,REG-F207X,Single,2nd phase - general contingent,4,Journalism and Communication,Daytime,Secondary education,147.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",139.7,Yes,No,No,Yes,Male,No,18,No,0,6,10,5,11.6,0,0,6,6,6,12.0,0,9.4,-0.8,-3.12,Dropout
ST202600490,APP1000020,REG-DI8XQ,Single,1st phase - general contingent,6,Nursing,Daytime,Secondary education,131.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",125.3,Yes,No,No,Yes,Female,Yes,19,No,0,8,8,7,12.355714285714283,0,0,8,8,7,12.355714285714283,0,10.8,1.4,1.74,Graduate
ST202602645,APP1002539,REG-FQNHQ,Single,1st phase - general contingent,1,Informatics Engineering,Daytime,Secondary education,131.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",135.9,No,No,No,Yes,Male,FALSE,18,No,0,5,10,2,14.0,0,0,5,7,3,11.0,1,7.6,2.6,0.32,Enrolled
ST202600796,APP1002366,REG-YK98X,Single,2nd phase - general contingent,1,Tourism,Daytime,Secondary education,120.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,125.5,No,No,No,Yes,Male,No,18,No,0,5,6,5,12.0,0,0,5,8,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled
ST202603835,APP1003697,REG-K18OB,Single,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary education,155.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",117.5,No,NO,No,Yes,Female,No,34,No,0,6,6,4,13.25,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled
ST202602076,APP1004402,REG-URCU8,Single,2nd phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,134.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",120.4,Yes,No,No,Yes,Male,FALSE,18,No,0,6,10,6,14.7,0,0,6,10,6,12.0,0,16.2,0.3,-0.92,Graduate
ST202604120,APP1000619,REG-QN3E6,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,118.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",117.8,No,No,No,Yes,Female,yes,19,No,0,7,7,7,13.7,0,0,8,9,7,14.671428571428574,0,12.4,0.5,1.79,Graduate
ST202602460,APP1000504,REG-MTXYM,Single,1st phase - general contingent,1,Communication Design,Daytime,Secondary education,130.0,Brazilian,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,125.5,Yes,NO,No,Yes,Female,Yes,19,Yes,0,6,6,6,14.166666666666666,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Graduate
ST202603397,APP1002890,REG-H16Y0,Single,2nd phase - general contingent,1,Veterinary Nursing,Daytime,Secondary education,127.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Meal preparation assistants,"Unskilled workers in extractive industry, construction, manufacturing and transport",117.6,No,No,No,Yes,Female,No,18,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,Dropout
ST202604124,APP1004009,REG-UNR1P,Single,Change of course,1,Management (evening attendance),Evening,Higher education - master's,160.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",125.0,No,No,No,Yes,M,No,26,No,0,5,7,5,12.6,0,0,5,7,5,13.714285714285714,0,13.9,-0.3,0.79,Graduate
ST202601058,APP1001071,REG-E0FP8,SINGLE,1st phase - general contingent,2,Advertising and Marketing Management,Daytime,Secondary education,160.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,137.3,Yes,No,No,Yes,Female,No,19,No,0,6,7,5,13.4,0,0,6,6,5,12.8,0,12.7,3.7,-1.7,Graduate
ST202602624,APP1000112,REG-MWY8Z,Single,Change of institution/course,1,Social Service,Daytime,Secondary education,121.0,Portuguese,Higher Education - Degree,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Intermediate Level Technicians and Professions,Armed Forces Professions,111.9,Yes,No,No,Yes,Female,No,20,No,5,11,12,11,11.727272727272728,0,5,11,14,11,12.0,0,12.4,0.5,1.79,Graduate
ST202603299,APP1003801,REG-R85ZZ,Single,Technological specialization diploma holders,1,Veterinary Nursing,Daytime,Technological specialization course,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,130.0,Yes,YES,No,Yes,Male,No,26,No,2,6,20,4,12.5,0,1,6,16,3,10.0,0,15.5,2.8,-4.06,Dropout
ST202602820,APP1001877,REG-W02UP,Single,1st phase - general contingent,1,Tourism,Daytime,Secondary education,125.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Intermediate Level Technicians and Professions,Intermediate Level Technicians and Professions,124.0,No,No,No,Yes,Male,Yes,19,No,0,6,7,6,11.0,0,0,6,6,5,12.2,0,11.1,0.6,2.02,Dropout
ST202600963,APP1000062,REG-X1DHI,Single,1st phase - general contingent,4,Communication Design,Daytime,Secondary education,167.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen",Intermediate Level Technicians and Professions,158.3,Yes,No,No,Yes,Female,No,18,NO,0,6,6,6,15.166666666666666,0,0,6,6,6,14.166666666666666,0,15.5,2.8,-4.06,Graduate
ST202602733,APP1004251,REG-SJAHS,Single,2nd phase - general contingent,2,Tourism,Daytime,Secondary education,123.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",,113.2,Yes,No,Yes,Yes,Female,No,19,NO,0,6,10,6,12.166666666666666,0,0,6,8,5,11.666666666666666,0,16.2,0.3,-0.92,Dropout
ST202602410,APP1002606,REG-SRBLH,SINGLE,Change of course,1,Social Service,Daytime,Secondary education,142.0,Portuguese,Unknown,Unknown,(blank),(blank),131.9,No,No,No,Yes,Female,Yes,29,No,9,16,17,16,12.588235294117649,0,10,13,14,13,13.357142857142858,0,9.4,-0.8,-3.12,Graduate
ST202602386,APP1001646,REG-FIZEB,Married,Holders of other higher courses,1,Equinculture,Daytime,Higher education - degree,120.0,Portuguese,Higher Education - Degree,Higher Education - Degree,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers","Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",128.2,No,No,No,Yes,Female,No,33,No,1,5,11,2,11.5,1,1,5,8,2,12.0,0,9.4,-0.8,-3.12,Dropout
ST202604269,APP1004200,REG-DQJYY,Single,2nd phase - general contingent,1,Management,Daytime,Secondary education,139.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",143.6,Yes,No,Yes,Yes,male,No,18,No,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
ST202602723,APP1000620,REG-T4ABA,Single,1st phase - general contingent,1,Tourism,Daytime,Secondary education,129.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Specialists in Intellectual and Scientific Activities,126.2,No,No,Yes,No,Female,Yes,21,No,0,6,7,6,13.428571428571429,0,0,6,8,6,11.333333333333334,0,8.9,1.4,3.51,Dropout
ST202600299,APP1003072,REG-BZJW8,single,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,141.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Armed Forces Professions,135.8,Yes,No,No,Yes,Male,No,19,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout
ST202601319,APP1000307,REG-K7V1I,Single,2nd phase - general contingent,6,Informatics Engineering,Daytime,Secondary education,124.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Student,126.1,Yes,No,No,Yes,Male,No,20,NO,0,5,7,4,13.0,0,0,5,9,5,14.833333333333334,3,7.6,2.6,0.32,Graduate
ST202603219,APP1002655,REG-NYAXY,Single,2nd phase - general contingent,2,Veterinary Nursing,Daytime,Secondary education,123.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Unskilled Workers,113.6,Yes,No,No,Yes,Female,No,19,no,0,5,13,3,12.0,2,0,5,8,4,11.75,0,9.4,-0.8,-3.12,Enrolled
ST202602302,APP1004218,REG-KL3M8,MARRIED,Over 23 years old,1,Management,Daytime,Other - 11th year of schooling,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,120.0,No,No,No,Yes,Female,No,25,No,0,5,0,0,0.0,0,0,5,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
ST202602246,APP1002297,REG-WYWX0,Single,1st phase - general contingent,3,Informatics Engineering,Daytime,Secondary education,117.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Intermediate Level Technicians and Professions,"Personal Services, Security and Safety Workers and Sellers",111.1,No,No,No,Yes,MALE,Yes,19,No,0,5,10,5,11.8,0,0,5,12,3,11.5,0,11.1,0.6,2.02,Enrolled
ST202603564,APP1004171,REG-EUJ9C,Single,Over 23 years old,2,Management (evening attendance),Evening,Secondary education,172.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,,Installation and Machine Operators and Assembly Workers,150.0,Yes,N,No,Yes,Female,Yes,28,No,0,5,7,5,10.6,0,0,5,6,5,10.2,0,9.4,-0.8,-3.12,Enrolled
ST202603435,APP1003602,REG-PYN1K,Single,Over 23 years old,1,Nursing,Daytime,Secondary education,133.1,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,,Unskilled Workers,Unskilled Workers,128.0,Yes,no,No,No,Male,,32,No,0,7,0,0,0.0,0,0,8,0,0,0.0,0,16.2,0.3,-0.92,Dropout
ST202603326,APP1000250,REG-NU2HT,Single,Over 23 years old,1,Nursing,Daytime,Secondary education,130.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",143.8,No,No,No,Yes,Male,No,27,No,0,8,8,7,15.57,0,0,8,8,7,15.57,0,10.8,1.4,1.74,Dropout
ST202600487,APP1002226,REG-XTX0T,Single,2nd phase - general contingent,5,Nursing,Daytime,Secondary education,137.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,127.6,Yes,no,No,Yes,Female,No,18,No,0,7,7,7,13.528571428571428,0,0,8,9,8,14.655555555555557,0,12.4,0.5,1.79,Graduate
ST202604060,APP1002046,REG-I5VGY,Single,2nd phase - general contingent,1,Advertising and Marketing Management,Daytime,Secondary education,109.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,108.0,No,No,No,Yes,male,No,19,No,0,5,10,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled
ST202603003,APP1002543,REG-JIIX1,Single,1st phase - general contingent,5,Communication Design,Daytime,Secondary education,124.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,113.9,Yes,No,No,Yes,Female,No,20,No,0,6,6,6,11.166666666666666,0,0,6,6,6,12.166666666666666,0,7.6,2.6,0.32,Graduate
ST202600158,APP1003135,REG-O2M6N,Married,Holders of other higher courses,1,Social Service (evening attendance),Evening,Higher education - degree,170.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Administrative staff,170.0,No,No,No,Yes,Female,No,27,No,0,5,5,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
ST202603094,APP1000148,REG-U8P6F,Single,Change of course,1,Management,Daytime,Secondary education,142.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Office workers, secretaries in general and data processing operators","Skilled construction workers and the like, except electricians",115.0,No,No,No,Yes,Female,,19,No,0,5,11,5,11.5,0,0,5,9,2,10.666666666666666,0,13.9,-0.3,0.79,Enrolled
ST202603404,APP1000657,REG-IIH6M,Married,Over 23 years old,1,Social Service,Daytime,Basic education 3rd cycle (9th/10th/11th year) or equiv.,133.1,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Administrative staff,98.5,No,No,No,Yes,Female,No,48,No,0,6,14,6,11.333333333333334,0,0,6,11,5,12.4,0,15.5,2.8,-4.06,Dropout
ST202604017,APP1002241,REG-XNV5X,SINGLE,1st phase - general contingent,1,Animation and Multimedia Design,Daytime,Secondary education,146.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",153.0,Yes,No,No,Yes,Female,Yes,21,No,15,17,18,17,13.38888888888889,0,15,17,18,17,14.88888888888889,0,11.1,0.6,2.02,Graduate
ST202601596,APP1000823,REG-U04J3,Single,3rd phase - general contingent,2,Management,Daytime,Secondary education,115.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",108.7,Yes,No,No,Yes,Female,No,21,No,0,5,8,3,12.0,1,0,5,9,3,12.666666666666666,0,9.4,-0.8,-3.12,Enrolled
ST202600330,APP1002960,REG-EQEXI,Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,121.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,118.9,Yes,No,No,Yes,Female,Yes,19,No,0,6,8,5,11.666666666666666,0,0,6,9,5,12.666666666666666,0,12.4,0.5,1.79,Graduate
ST202603969,APP1004070,REG-ECUZL,Single,1st phase - general contingent,2,Tourism,Daytime,Secondary education,125.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",121.5,Yes,No,No,Yes,Male,No,18,No,0,6,12,5,11.0,0,0,6,11,3,10.333333333333334,0,9.4,-0.8,-3.12,Enrolled
ST202604310,APP1001005,REG-CK2YW,Single,Over 23 years old,1,Journalism and Communication,Daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Intermediate Level Technicians and Professions,161.5,No,No,No,Yes,Male,No,36,No,0,6,7,6,15.285714285714286,0,0,6,6,6,16.5,0,10.8,1.4,1.74,Graduate
ST202600466,APP1003091,REG-TUKOE,SINGLE,1st phase - general contingent,1,Communication Design,Daytime,Secondary education,148.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Armed Forces Professions,148.0,Yes,No,No,Yes,Female,No,20,No,7,12,12,10,14.7,0,8,12,12,12,14.583333333333334,0,15.5,2.8,-4.06,Graduate
ST202600855,APP1003216,REG-HBCBD,Single,Transfer,1,Communication Design,Daytime,Secondary education,100.0,Portuguese,Higher Education - Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,115.9,No,No,No,Yes,Female,No,75,No,9,10,15,9,11.555555555555555,0,7,11,17,10,11.9,0,9.4,-0.8,-3.12,Enrolled
ST202601140,APP1002789,REG-P37IC,Single,1st phase - general contingent,3,Nursing,Daytime,Secondary education,144.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Skilled Workers in Industry, Construction and Craftsmen",128.0,Yes,No,No,Yes,Female,Yes,18,No,0,8,11,7,12.90857142857143,0,0,8,11,7,12.90857142857143,0,10.8,1.4,1.74,Graduate
ST202602944,APP1003930,REG-NFE0X,Single,2nd phase - general contingent,1,Social Service,Daytime,Secondary education,136.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",140.9,Yes,no,No,Yes,Male,No,18,No,0,6,10,4,12.0,0,0,6,7,5,11.8,0,9.4,-0.8,-3.12,Dropout
ST202601567,APP1003589,REG-W5RY2,Single,1st phase - general contingent,1,Journalism and Communication,Daytime,Secondary education,150.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,7th Year (Old),Student,Student,131.1,Yes,No,No,Yes,Male,No,19,No,0,6,6,6,11.666666666666666,0,0,6,10,3,12.666666666666666,0,7.6,2.6,0.32,Graduate
ST202601021,APP1001974,REG-IIG7R,Single,2nd phase - general contingent,5,Informatics Engineering,Daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,,"Personal Services, Security and Safety Workers and Sellers",118.1,Yes,No,Yes,No,Male,No,26,no,0,5,11,1,10.0,0,0,5,14,1,11.0,0,8.9,1.4,3.51,Dropout
